Id_hecho,Nro_victimas,Fecha,Anio,Mes,Dia,Hora,Lugar_hecho,Tipo_calle,Calle,Cruce,Comuna,Long_x,Lat_y,Participantes,Victima,Acusado,Rol,Sexo,Edad,Fecha_fallecimiento,Franja_horaria
2016-0001,1,2016-01-01,2016,Enero,1,4,AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ,AVENIDA,PIEDRA BUENA AV.,Con_cruce,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,19,2016-01-01,Madrugada
2016-0002,1,2016-01-02,2016,Enero,2,1,AV GRAL PAZ  Y AV DE LOS CORRALES,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,70,2016-01-02,Madrugada
2016-0003,1,2016-01-03,2016,Enero,3,7,AV ENTRE RIOS 2034,AVENIDA,ENTRE RIOS AV.,Sin_cruce,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,30,2016-01-03,Mañana
2016-0004,1,2016-01-10,2016,Enero,10,0,AV LARRAZABAL Y GRAL VILLEGAS CONRADO,AVENIDA,LARRAZABAL AV.,Con_cruce,8,-58.46503904,-34.68092974,MOTO-SD,MOTO,No_data,CONDUCTOR,MASCULINO,18,2000-01-01,Madrugada
2016-0005,1,2016-01-21,2016,Enero,21,5,AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ,AVENIDA,SAN JUAN AV.,Con_cruce,1,-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,29,2016-02-01,Madrugada
2016-0008,1,2016-01-24,2016,Enero,24,18,AV 27 DE FEBRERO Y AV ESCALADA,AVENIDA,27 DE FEBRERO AV.,Con_cruce,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,2016-01-24,Noche
2016-0009,1,2016-01-24,2016,Enero,24,19,NOGOYA Y JOAQUIN V. GONZALES,CALLE,NOGOYA,Con_cruce,11,-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,29,2016-01-26,Noche
2016-0010,1,2016-01-29,2016,Enero,29,15,AV GENERAL PAZ Y AV DE LOS CORRALES,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO,CONDUCTOR,MASCULINO,18,2016-01-29,Tarde
2016-0012,1,2016-02-08,2016,Febrero,8,1,AV BELGRANO Y BERNARDO DE IRIGOYEN,AVENIDA,BELGRANO AV.,Con_cruce,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS,CONDUCTOR,MASCULINO,22,2016-02-08,Madrugada
2016-0013,1,2016-02-10,2016,Febrero,10,11,AV ENTRE RIOS 1366,AVENIDA,ENTRE RIOS AV.,Sin_cruce,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,16,2016-02-10,Mañana
2016-0015,1,2016-02-14,2016,Febrero,14,5,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.",Con_cruce,15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO,PEATON,FEMENINO,16,2016-02-14,Madrugada
2016-0016,1,2016-02-14,2016,Febrero,14,22,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,Con_cruce,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,FEMENINO,19,2016-02-14,Noche
2016-0017,1,2016-02-15,2016,Febrero,15,16,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO",Con_cruce,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO,PEATON,MASCULINO,59,2016-02-16,Tarde
2016-0019,1,2016-02-17,2016,Febrero,17,9,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO",Con_cruce,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,FEMENINO,65,2016-02-17,Mañana
2016-0020,1,2016-02-17,2016,Febrero,17,16,SUIPACHA 156,CALLE,SUIPACHA,Sin_cruce,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO,PEATON,MASCULINO,59,2016-03-02,Tarde
2016-0021,1,2016-02-17,2016,Febrero,17,23,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,Con_cruce,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO,CONDUCTOR,MASCULINO,34,2016-02-17,Noche
2016-0022,1,2016-02-21,2016,Febrero,21,6,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,Con_cruce,1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,41,2000-01-01,Mañana
2016-0025,1,2016-02-28,2016,Febrero,28,4,AV GRAL PAZ Y AV 27 DE FEBRERO,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2016-02-28,Madrugada
2016-0026,1,2016-02-28,2016,Febrero,28,7,HOLMBERG Y VEDIA,CALLE,HOLMBERG,Con_cruce,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,CONDUCTOR,MASCULINO,30,2016-03-04,Mañana
2016-0027,1,2016-02-28,2016,Febrero,28,9,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,Con_cruce,7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,MASCULINO,34,2000-01-01,Mañana
2016-0028,1,2016-03-02,2016,Marzo,2,10,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,Con_cruce,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS,PEATON,MASCULINO,50,2016-03-02,Mañana
2016-0029,1,2016-03-04,2016,Marzo,4,17,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,Con_cruce,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,38,2016-03-04,Tarde
2016-0031,1,2016-03-08,2016,Marzo,8,12,AV GRAL PAZ Y AV CNEL ROCA,AUTOPISTA,"PAZ, GRAL. AV.",Con_cruce,8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,21,2000-01-01,Tarde
2016-0034,1,2016-03-12,2016,Marzo,12,12,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.",Con_cruce,4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS,PEATON,MASCULINO,52,2016-03-12,Tarde
2016-0035,1,2016-03-13,2016,Marzo,13,6,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,Con_cruce,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,34,2016-03-13,Mañana
2016-0036,1,2016-03-14,2016,Marzo,14,0,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,Con_cruce,4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14,Madrugada
